Unnamed: 0,City,Address,Type,Price,Rooms,Build Size,Floor,מזגן,חניה,סורגים,מרוהטת,משופצת,מחסן,מעלית,"ממ""ד",נגישות,מרפסת
193,תל אביב יפו,דרך מרדכי נמיר 107,דירה,5600,2.5,65,1,1,0,1,1,0,0,0,0,0,1
194,תל אביב יפו,שדרות שאול המלך 39,דירה,3500,2.5,42,5,1,0,0,0,1,0,1,0,1,0
195,תל אביב יפו,סירקין 13,דירה,7500,2.5,70,1,1,0,0,0,1,0,0,0,0,0
196,תל אביב יפו,ירושלמי 12,דירה,8150,2.5,68,2,1,1,0,0,0,0,1,0,0,1
197,תל אביב יפו,יהודה המכבי 49,דירה,16500,4.0,102,5,1,1,0,0,0,0,1,1,1,1
198,תל אביב יפו,וכטנגוב 11,דירה,8800,4.0,106,3,1,1,0,0,0,1,1,1,1,1
199,תל אביב יפו,דיק 6,סאבלט,4500,4.0,120,1,1,0,0,1,1,1,0,0,0,1
200,תל אביב יפו,גיתית 8,דירה,5400,3.0,65,4,1,0,0,0,1,0,0,0,0,0
201,תל אביב יפו,כיכר דיזנגוף 12,דירה,18000,4.0,114,1,1,1,0,1,1,1,1,1,1,1
202,תל אביב יפו,דיזנגוף 264,דירה,5500,2.0,38,2,1,0,0,1,0,0,0,0,0,0
203,תל אביב יפו,שדרות בן גוריון 16,דירה,12000,1.0,80,1,1,1,0,1,0,0,1,0,0,0
204,תל אביב יפו,רענן 23,דירה,7800,2.0,95,3,1,0,0,0,1,0,0,0,0,1
205,תל אביב יפו,זרח 20,דירה,6000,3.5,83,1,1,0,1,0,1,0,0,0,0,1
206,תל אביב יפו,מאיר יערי 23,דירה,16000,5.0,113,7,1,1,0,0,1,1,1,1,0,1
207,תל אביב יפו,דב ממזריץ' 26,דירה,4900,2.5,55,3,1,0,1,0,1,0,0,0,0,0
208,תל אביב יפו,נחמן 4,סאבלט,12000,4.5,120,1,1,0,1,1,1,0,0,0,0,1
209,תל אביב יפו,מאוריציו ויטלה 5,דירה,13000,4.5,155,2,1,1,0,1,1,1,1,1,1,1
210,תל אביב יפו,מוצא 10,דירה,5500,3.0,77,2,1,0,0,0,0,1,0,0,0,0
211,תל אביב יפו,יהודה המכבי 42,דירה,10750,4.0,83,1,1,0,0,0,1,0,0,0,0,0
212,תל אביב יפו,מעפילי אגוז 32,דירה,4900,3.5,70,4,1,0,0,0,0,0,0,0,0,0
213,תל אביב יפו,גרציאני יצחק 6,דירה,9500,3.0,94,0,1,1,0,1,1,0,1,1,1,1
214,תל אביב יפו,שלמה בן יוסף 18,דירה,9000,4.0,90,4,1,0,0,1,0,0,1,0,0,0
215,תל אביב יפו,יהודה בורלא 12,דירה,9000,4.0,104,1,1,1,1,0,1,0,1,0,1,0
216,תל אביב יפו,הושע,דירה,3500,3.0,98,2,1,0,1,1,0,0,1,0,0,1
217,תל אביב יפו,שדרות לוי אשכול 64,דירה,11400,4.5,127,2,1,1,0,0,1,0,1,0,1,0
218,תל אביב יפו,הקליר 19,דירה,9800,2.5,64,2,1,0,0,0,1,0,0,0,0,0
219,תל אביב יפו,מבצע קדש,דירה,9000,4.0,95,2,1,1,0,0,1,0,0,0,0,0
220,תל אביב יפו,אוריאל אקוסטה 13,דירה,4300,2.0,40,1,1,0,1,1,1,0,0,0,0,1
221,תל אביב יפו,דרך השלום 147,דירה,6900,4.0,105,2,1,1,1,0,0,0,0,1,0,0
222,תל אביב יפו,דרך מרדכי נמיר 107,דירה,5600,2.5,65,1,1,0,1,1,0,0,0,0,0,0
223,תל אביב יפו,פילון,דופלקס,8300,2.0,70,3,1,0,0,0,0,0,0,0,0,1
224,תל אביב יפו,"ד""ר אברהם אליהו הרכבי 5",דירה,8200,5.0,110,4,1,0,1,0,0,0,1,0,0,0
225,תל אביב יפו,חיים בן עטר 7,דירה,9500,1.0,86,1,1,1,0,0,0,0,1,1,1,1
226,תל אביב יפו,ביצרון 46,דירה,6500,3.0,50,2,1,0,0,0,1,0,0,0,0,0
228,תל אביב יפו,בלפור 48,דירה,8000,3.5,62,1,1,1,1,1,0,0,1,0,0,0
229,גבעתיים,גונן,דירה,4500,4.0,86,2,1,1,0,0,0,0,0,0,0,0
230,תל אביב יפו,נחום סוקולוב 8,דירה,5700,1.5,40,1,1,0,0,0,0,0,0,0,0,0
231,תל אביב יפו,הרב יוסף צוברי 4,יחידת דיור,3300,1.0,30,1,1,0,0,1,1,1,0,0,0,1
232,תל אביב יפו,הרב יצחק ידידיה פרנקל 74,גג/פנטהאוז,7950,2.0,50,6,1,0,0,0,0,1,1,0,0,1
233,תל אביב יפו,שדרות וושינגטון 26,דירה,7400,2.0,54,2,1,0,0,1,1,0,0,0,0,1
234,תל אביב יפו,יהודה המכבי 36,סאבלט,4000,2.5,70,1,1,0,1,1,0,0,0,0,0,0
235,תל אביב יפו,אבן סינא 49,דירה,7200,2.5,80,0,1,0,1,0,0,0,0,0,0,0
236,תל אביב יפו,הא באייר,פנטהאוז,12500,3.5,130,5,1,1,0,0,1,1,1,0,0,1
237,תל אביב יפו,גרציאני יצחק 8,דירה,11000,4.0,101,12,1,1,0,0,0,0,1,1,0,1
238,תל אביב יפו,טשרניחובסקי 57,דירה,7300,2.5,64,2,1,1,0,0,1,0,1,0,0,1
239,תל אביב יפו,הנשיאים 8,דופלקס,12000,5.0,120,6,1,1,0,0,0,0,1,0,1,1
240,תל אביב יפו,יעקב מרידור 23,דירה,12200,5.0,135,3,1,1,0,0,1,1,1,1,1,1
241,תל אביב יפו,שדרות ירושלים 197,דירה,5500,3.0,71,3,1,1,1,0,1,0,0,0,0,0
242,תל אביב יפו,שביל ברלינר 8,דירה,10000,4.0,100,7,1,0,1,1,1,0,1,0,0,0
243,תל אביב יפו,קהילת פאדובה 30,דירה,8750,3.0,89,5,1,1,0,0,1,1,1,1,1,1
244,תל אביב יפו,מרק שאגאל 8,דירה,9550,3.0,92,1,1,1,1,0,1,1,1,1,1,1
